i,time,Type,has_hh,month
1,1,NA,FALSE,1
1,66,H,TRUE,3
1,63,H,TRUE,3
1,30,H,TRUE,1
1,35,H,TRUE,2
1,242,H,TRUE,9
1,214,H,TRUE,8
1,213,H,TRUE,8
1,272,H,TRUE,10
1,185,C,FALSE,7
1,247,C,FALSE,9
1,276,H,TRUE,10
1,275,H,TRUE,10
1,308,H,TRUE,11
1,340,H,TRUE,12
1,363,H,TRUE,13
1,334,H,TRUE,12
1,305,H,TRUE,11
1,274,C,FALSE,10
1,338,H,TRUE,12
1,357,H,TRUE,12
1,333,H,TRUE,12
1,301,C,FALSE,11
1,329,H,TRUE,11
1,332,H,TRUE,12
1,34,C,FALSE,2
1,62,H,TRUE,3
1,340,C,FALSE,12
1,342,C,FALSE,12
1,123,H,TRUE,5
1,154,H,TRUE,6
1,94,C,FALSE,4
1,94,C,FALSE,4
1,336,H,TRUE,12
1,334,H,TRUE,12
1,364,H,TRUE,13
1,304,C,FALSE,11
1,310,H,TRUE,11
1,277,C,FALSE,10
1,243,H,TRUE,9
1,215,C,FALSE,8
1,249,H,TRUE,9
1,243,H,TRUE,9
1,244,H,TRUE,9
1,275,H,TRUE,10
1,243,C,FALSE,9
1,307,H,TRUE,11
1,277,H,TRUE,10
1,244,C,FALSE,9
1,272,H,TRUE,10
1,273,H,TRUE,10
1,335,H,TRUE,12
1,363,H,TRUE,13
1,307,C,FALSE,11
1,363,C,FALSE,13
1,309,H,TRUE,11
1,340,H,TRUE,12
1,276,C,FALSE,10
1,310,H,TRUE,11
1,338,H,TRUE,12
1,363,C,FALSE,13
2,1,NA,FALSE,1
2,31,H,TRUE,2
3,1,NA,FALSE,1
3,29,H,TRUE,1
4,1,NA,FALSE,1
4,65,H,TRUE,3
4,34,H,TRUE,2
4,31,H,TRUE,2
4,94,H,TRUE,4
4,216,C,FALSE,8
4,247,H,TRUE,9
4,247,H,TRUE,9
4,245,H,TRUE,9
4,244,H,TRUE,9
4,123,C,FALSE,5
4,154,C,FALSE,6
4,219,H,TRUE,8
4,187,H,TRUE,7
4,185,H,TRUE,7
4,313,H,TRUE,11
4,284,H,TRUE,10
4,253,C,FALSE,9
4,285,H,TRUE,10
4,281,H,TRUE,10
4,249,H,TRUE,9
4,188,C,FALSE,7
4,217,H,TRUE,8
4,218,H,TRUE,8
4,187,C,FALSE,7
4,314,C,FALSE,11
4,348,H,TRUE,12
4,343,H,TRUE,12
4,339,C,FALSE,12
4,336,C,FALSE,12
4,364,H,TRUE,13
4,187,H,TRUE,7
4,156,C,FALSE,6
4,217,H,TRUE,8
4,363,C,FALSE,13
4,338,C,FALSE,12
4,226,C,FALSE,8
4,308,H,TRUE,11
4,251,C,FALSE,9
4,336,H,TRUE,12
4,310,H,TRUE,11
4,279,H,TRUE,10
4,305,H,TRUE,11
4,248,C,FALSE,9
4,309,H,TRUE,11
4,277,H,TRUE,10
4,277,H,TRUE,10
4,332,C,FALSE,12
4,363,H,TRUE,13
4,339,C,FALSE,12
4,329,C,FALSE,11
4,360,H,TRUE,12
4,359,H,TRUE,12
4,330,H,TRUE,11
4,273,C,FALSE,10
4,305,H,TRUE,11
4,301,H,TRUE,11
4,301,H,TRUE,11
4,271,C,FALSE,10
4,330,H,TRUE,11
4,302,H,TRUE,11
4,347,C,TRUE,12
4,303,H,TRUE,11
4,312,H,TRUE,11
4,278,H,TRUE,10
4,312,H,TRUE,11
4,306,H,TRUE,11
4,250,C,FALSE,9
4,337,C,FALSE,12
4,252,C,FALSE,9
4,284,H,TRUE,10
4,286,H,TRUE,10
4,349,H,TRUE,12
4,281,C,FALSE,10
4,343,H,TRUE,12
4,311,H,TRUE,11
4,315,H,TRUE,11
4,124,H,TRUE,5
4,156,H,TRUE,6
4,93,H,TRUE,4
4,63,C,FALSE,3
4,346,H,TRUE,12
4,347,H,TRUE,12
4,315,C,FALSE,11
4,157,H,TRUE,6
4,128,C,FALSE,5
4,157,H,TRUE,6
4,251,H,TRUE,9
4,189,C,FALSE,7
4,222,H,TRUE,8
4,220,H,TRUE,8
4,218,H,TRUE,8
4,364,C,FALSE,13
4,340,C,FALSE,12
4,342,C,FALSE,12
4,345,H,TRUE,12
4,350,H,TRUE,12
4,317,C,FALSE,11
4,351,H,TRUE,12
4,223,H,TRUE,8
4,190,C,FALSE,7
4,130,H,TRUE,5
4,156,H,TRUE,6
4,160,H,TRUE,6
4,125,H,TRUE,5
4,96,C,FALSE,4
4,317,C,FALSE,11
4,346,H,TRUE,12
4,249,H,TRUE,9
4,247,H,TRUE,9
4,275,H,TRUE,10
4,219,C,FALSE,8
4,248,H,TRUE,9
4,194,H,TRUE,7
4,161,C,FALSE,6
4,191,H,TRUE,7
4,221,H,TRUE,8
4,346,C,FALSE,12
4,283,H,TRUE,10
4,252,C,FALSE,9
4,319,H,TRUE,11
4,314,H,TRUE,11
4,286,H,TRUE,10
4,243,C,FALSE,9
4,303,H,TRUE,11
4,273,H,TRUE,10
4,274,H,TRUE,10
4,245,C,FALSE,9
4,310,C,FALSE,11
4,340,H,TRUE,12
4,216,H,TRUE,8
4,218,H,TRUE,8
4,188,C,FALSE,7
