i,time,Type,has_hh,month
1,292,NA,FALSE,10
1,305,NA,FALSE,11
1,352,NA,FALSE,12
1,313,NA,FALSE,11
1,162,NA,FALSE,6
1,170,NA,FALSE,6
1,271,NA,FALSE,10
1,324,NA,FALSE,11
1,94,NA,FALSE,4
1,289,NA,FALSE,10
1,141,NA,FALSE,5
1,190,NA,FALSE,7
1,337,NA,FALSE,12
1,150,NA,FALSE,5
1,358,NA,FALSE,12
1,244,NA,FALSE,9
1,177,NA,FALSE,6
1,118,NA,FALSE,4
1,192,NA,FALSE,7
1,235,NA,TRUE,8
1,336,NA,FALSE,12
1,358,NA,TRUE,12
1,120,NA,FALSE,4
1,188,NA,FALSE,7
1,55,NA,FALSE,2
1,342,NA,FALSE,12
1,42,NA,FALSE,2
1,301,NA,FALSE,11
1,43,NA,FALSE,2
1,273,NA,FALSE,10
1,202,NA,FALSE,7
1,184,NA,FALSE,7
1,39,NA,FALSE,2
1,330,NA,FALSE,11
1,190,NA,FALSE,7
1,112,NA,FALSE,4
1,267,NA,FALSE,9
1,120,NA,FALSE,4
1,108,NA,FALSE,4
1,148,NA,FALSE,5
1,245,NA,FALSE,9
1,139,NA,FALSE,5
1,80,NA,FALSE,3
1,247,NA,FALSE,9
1,105,NA,FALSE,4
1,225,NA,FALSE,8
1,193,NA,FALSE,7
1,310,NA,FALSE,11
1,352,NA,FALSE,12
1,326,NA,FALSE,11
1,349,NA,FALSE,12
1,197,NA,FALSE,7
1,102,NA,FALSE,4
1,105,NA,FALSE,4
1,91,NA,FALSE,4
1,74,NA,FALSE,3
1,175,NA,FALSE,6
1,202,NA,FALSE,7
1,302,NA,FALSE,11
1,183,NA,FALSE,7
1,170,NA,FALSE,6
2,173,NA,FALSE,6
2,79,NA,FALSE,3
2,96,NA,FALSE,4
2,232,NA,FALSE,8
2,213,NA,FALSE,8
2,112,NA,FALSE,4
2,134,NA,FALSE,5
2,162,NA,FALSE,6
2,209,NA,FALSE,7
2,243,NA,TRUE,9
2,242,NA,FALSE,9
2,249,NA,FALSE,9
2,286,NA,FALSE,10
2,332,NA,FALSE,12
2,138,NA,FALSE,5
2,257,NA,FALSE,9
2,326,NA,FALSE,11
2,52,NA,FALSE,2
2,194,NA,FALSE,7
2,162,NA,FALSE,6
2,78,NA,FALSE,3
