time,res
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0.66
30,0.8
31,0.79
32,0.57
33,0.68
34,0.79
35,0.75
36,0.83
37,0.63
38,0.86
39,0.79
40,0.78
41,0.76
42,0.78
43,0.69
44,0.8
45,0.73
46,0.66
47,0.63
48,0.83
49,0.56
50,0.69
51,0.84
52,0.7
53,0.73
54,0.8
55,0.67
56,0.66
57,0.75
58,0.68
59,0.58
60,0.73
61,0.87
62,0.79
63,0.69
64,0.76
65,0.85
66,0.76
67,0.71
68,0.72
69,0.79
70,0.81
71,0.94
72,0.83
73,0.73
74,0.68
75,0.69
76,0.58
77,0.7
78,0.78
79,0.81
80,0.76
81,0.84
82,0.74
83,0.61
84,0.78
85,0.73
86,0.79
87,0.68
88,0.71
89,0.66
90,0.81
91,0.83
92,0.84
93,0.76
94,0.56
95,0.78
96,0.75
97,0.76
98,0.66
99,0.87
100,0.62
101,0.68
102,0.54
103,0.64
104,0.78
105,0.69
106,0.63
107,0.64
108,0.8
109,0.87
110,0.65
111,0.61
112,0.71
113,0.78
114,0.78
115,0.81
116,0.7
117,0.78
118,0.76
119,0.84
120,0.74
121,0.7
122,0.73
123,0.71
124,0.77
125,0.54
126,0.69
127,0.74
128,0.65
129,0.83
130,0.77
131,0.6
132,0.66
133,0.65
134,0.59
135,0.83
136,0.77
137,0.71
138,0.74
139,0.71
140,0.72
141,0.75
142,0.76
143,0.72
144,0.77
145,0.66
146,0.62
147,0.54
148,0.65
149,0.66
150,0.71
151,0.66
152,0.57
153,0.62
154,0.67
155,0.79
156,0.7
157,0.72
158,0.75
159,0.55
160,0.71
161,0.48
162,0.65
163,0.59
164,0.61
165,0.6
166,0.65
167,0.53
168,0.75
169,0.67
170,0.65
171,0.74
172,0.65
173,0.67
174,0.71
175,0.72
176,0.56
177,0.75
178,0.72
179,0.72
180,0.82
181,0.88
182,0.71
183,0.67
184,0.67
185,0.69
186,0.8
187,0.71
188,0.75
189,0.53
190,0.52
191,0.76
192,0.66
193,0.78
194,0.59
195,0.72
196,0.51
