i,time,Type,has_hh,month
1,1,NA,FALSE,1
2,1,NA,FALSE,1
2,30,H,TRUE,1
3,1,NA,FALSE,1
4,1,NA,FALSE,1
4,29,H,TRUE,1
4,29,H,TRUE,1
4,29,H,TRUE,1
4,58,H,TRUE,2
4,405,H,TRUE,14
4,374,C,FALSE,13
4,402,H,TRUE,14
4,331,C,FALSE,12
4,436,H,FALSE,15
4,376,H,TRUE,13
4,342,H,FALSE,12
4,370,H,TRUE,13
4,342,H,FALSE,12
4,308,C,FALSE,11
4,484,H,TRUE,17
4,517,H,FALSE,18
4,451,C,FALSE,16
4,480,H,TRUE,16
4,329,C,FALSE,11
4,343,H,TRUE,12
4,282,C,FALSE,10
4,313,H,FALSE,11
4,344,H,TRUE,12
4,316,H,TRUE,11
4,334,C,FALSE,12
4,363,H,TRUE,13
4,430,C,FALSE,15
4,396,H,TRUE,14
4,365,C,TRUE,13
4,389,H,TRUE,13
4,361,C,FALSE,13
4,417,H,TRUE,14
4,415,C,TRUE,14
4,409,C,FALSE,14
4,416,H,TRUE,14
4,450,H,FALSE,15
4,410,H,TRUE,14
4,382,C,FALSE,13
4,412,H,TRUE,14
4,61,H,TRUE,3
4,62,H,TRUE,3
4,66,H,TRUE,3
4,33,C,FALSE,2
4,484,H,TRUE,17
4,427,H,FALSE,15
4,393,C,FALSE,14
4,455,H,TRUE,16
4,546,H,TRUE,19
4,546,H,TRUE,19
4,518,C,FALSE,18
4,278,C,FALSE,10
4,208,H,FALSE,7
4,175,C,FALSE,6
4,453,C,FALSE,16
4,482,H,TRUE,17
4,467,C,TRUE,16
4,514,H,TRUE,18
4,501,H,TRUE,17
4,312,H,FALSE,11
4,183,C,FALSE,7
4,245,H,FALSE,9
4,278,H,FALSE,10
4,213,H,TRUE,8
4,497,H,TRUE,17
4,497,H,TRUE,17
4,468,H,FALSE,16
4,437,C,FALSE,15
4,474,C,TRUE,16
4,424,H,TRUE,15
4,362,C,FALSE,13
4,243,C,FALSE,9
4,393,H,FALSE,14
4,394,H,TRUE,14
4,461,H,FALSE,16
4,493,H,TRUE,17
4,522,H,TRUE,18
4,429,C,FALSE,15
4,491,H,TRUE,17
4,306,C,FALSE,11
4,504,C,FALSE,17
4,339,H,FALSE,12
4,532,H,TRUE,18
4,493,H,TRUE,17
4,493,H,TRUE,17
4,494,H,TRUE,17
4,465,C,FALSE,16
4,523,H,TRUE,18
4,491,C,FALSE,17
4,520,H,TRUE,18
4,460,C,FALSE,16
4,490,H,TRUE,17
4,490,H,TRUE,17
4,534,C,FALSE,18
4,409,H,TRUE,14
4,379,C,FALSE,13
4,428,C,TRUE,15
4,484,H,TRUE,17
4,428,C,FALSE,15
4,456,H,TRUE,16
4,458,H,FALSE,16
4,518,H,TRUE,18
4,492,H,TRUE,17
4,489,H,FALSE,17
4,424,C,FALSE,15
4,444,C,FALSE,15
4,477,H,FALSE,16
4,498,C,TRUE,17
4,505,H,TRUE,17
4,301,C,FALSE,11
4,331,H,TRUE,12
4,395,H,FALSE,14
4,364,H,FALSE,13
4,518,C,FALSE,18
4,307,H,TRUE,11
4,309,H,TRUE,11
4,335,H,TRUE,12
4,280,C,TRUE,10
4,276,C,FALSE,10
4,498,H,TRUE,17
4,529,H,TRUE,18
4,469,C,FALSE,16
4,501,H,TRUE,17
4,346,C,FALSE,12
4,307,H,TRUE,11
4,278,H,FALSE,10
4,246,C,FALSE,9
4,306,H,TRUE,11
4,306,H,TRUE,11
4,410,C,FALSE,14
4,438,H,TRUE,15
4,442,H,TRUE,15
4,460,C,FALSE,16
4,502,H,TRUE,17
4,499,H,TRUE,17
4,469,C,TRUE,16
4,338,H,TRUE,12
4,372,H,FALSE,13
4,334,H,TRUE,12
4,304,C,FALSE,11
4,209,C,FALSE,7
4,250,H,FALSE,9
4,216,C,TRUE,8
4,473,C,FALSE,16
4,503,H,TRUE,17
4,507,H,TRUE,17
4,270,C,FALSE,9
4,303,H,FALSE,11
4,396,H,TRUE,14
4,398,H,TRUE,14
4,392,C,TRUE,14
4,426,H,TRUE,15
4,366,C,FALSE,13
4,407,H,TRUE,14
4,404,H,TRUE,14
4,344,C,FALSE,12
4,374,H,TRUE,13
4,491,C,FALSE,17
4,244,H,TRUE,9
4,278,H,FALSE,10
4,306,C,TRUE,11
4,216,C,FALSE,8
4,245,H,TRUE,9
4,399,C,FALSE,14
4,358,C,TRUE,12
4,390,H,TRUE,13
4,416,H,TRUE,14
4,382,H,TRUE,13
4,352,C,FALSE,12
4,333,H,TRUE,12
4,328,H,TRUE,11
4,299,C,FALSE,10
4,501,C,FALSE,17
4,402,H,TRUE,14
4,373,H,FALSE,13
4,340,C,FALSE,12
4,435,H,FALSE,15
4,463,H,TRUE,16
4,377,H,TRUE,13
4,440,H,FALSE,15
4,340,C,FALSE,12
4,349,C,TRUE,12
4,406,H,TRUE,14
4,204,C,FALSE,7
4,232,H,TRUE,8
4,264,H,TRUE,9
4,294,H,TRUE,10
4,260,H,TRUE,9
4,325,H,TRUE,11
4,296,C,FALSE,10
4,324,H,TRUE,11
4,354,H,TRUE,12
4,353,H,TRUE,12
4,506,H,FALSE,17
4,473,C,FALSE,16
4,506,H,FALSE,17
4,535,H,TRUE,18
4,474,C,FALSE,16
4,507,H,TRUE,17
4,540,H,TRUE,18
4,339,H,TRUE,12
4,393,H,TRUE,14
4,365,H,TRUE,13
4,336,H,TRUE,12
4,307,C,FALSE,11
4,515,H,TRUE,18
4,454,C,FALSE,16
4,485,H,FALSE,17
4,487,H,TRUE,17
4,459,C,FALSE,16
4,434,C,FALSE,15
4,318,H,FALSE,11
4,348,H,TRUE,12
4,319,H,TRUE,11
4,286,C,FALSE,10
4,393,H,FALSE,14
4,334,H,TRUE,12
4,331,H,TRUE,12
4,359,H,TRUE,12
4,302,C,FALSE,11
4,391,C,FALSE,14
