"","ID","SIZE","HH","TYPE","TIME","S_num","I_num"
"1",1,3,1,"0",33,2,0
"2",2,3,1,NA,NA,NA,0
"3",3,3,1,NA,NA,NA,0
"4",4,3,2,NA,NA,NA,0
"5",5,3,2,NA,NA,NA,0
"6",6,3,2,NA,NA,NA,0
"7",7,5,3,NA,NA,NA,0
"8",8,5,3,NA,NA,NA,0
"9",9,5,3,NA,NA,NA,0
"10",10,5,3,NA,NA,NA,0
"11",11,5,3,NA,NA,NA,0
"12",12,4,4,"C",316,2,0
"13",13,4,4,"C",338,2,0
"14",14,4,4,NA,NA,NA,0
"15",15,4,4,NA,NA,NA,0
"16",16,6,5,"H",NA,NA,0
"17",17,6,5,"C",NA,NA,0
"18",18,6,5,"H",358,0,0
"19",19,6,5,"H",355,1,0
"20",20,6,5,"C",332,2,1
"21",21,6,5,"C",328,4,2
"22",22,4,6,NA,NA,NA,0
"23",23,4,6,NA,NA,NA,0
"24",24,4,6,NA,NA,NA,0
"25",25,4,6,NA,NA,NA,0
"26",26,3,7,NA,NA,NA,0
"27",27,3,7,NA,NA,NA,0
"28",28,3,7,NA,NA,NA,0
"29",29,6,8,"C",320,4,2
"30",30,6,8,"C",130,5,0
"31",31,6,8,NA,NA,NA,0
"32",32,6,8,"C",NA,NA,0
"33",33,6,8,"H",356,2,0
"34",34,6,8,"H",340,2,0
"35",35,5,9,NA,NA,NA,0
"36",36,5,9,"C",256,4,0
"37",37,5,9,NA,NA,NA,0
"38",38,5,9,"C",NA,NA,0
"39",39,5,9,NA,NA,NA,0
"40",40,4,10,NA,NA,NA,0
"41",41,4,10,NA,NA,NA,0
"42",42,4,10,NA,NA,NA,0
"43",43,4,10,NA,NA,NA,0
"44",44,5,11,NA,NA,NA,0
"45",45,5,11,"H",330,3,0
"46",46,5,11,"C",315,4,1
"47",47,5,11,NA,NA,NA,0
"48",48,5,11,NA,NA,NA,0
"49",49,4,12,NA,NA,NA,0
"50",50,4,12,NA,NA,NA,0
"51",51,4,12,NA,NA,NA,0
"52",52,4,12,NA,NA,NA,0
"53",53,3,13,"H",364,0,0
"54",54,3,13,"C",321,2,2
"55",55,3,13,"H",348,0,0
"56",56,6,14,"H",347,1,1
"57",57,6,14,"H",329,2,1
"58",58,6,14,"C",319,3,1
"59",59,6,14,"H",359,0,0
"60",60,6,14,"H",NA,NA,0
"61",61,6,14,"C",292,4,1
"62",62,6,15,NA,NA,NA,0
"63",63,6,15,NA,NA,NA,0
"64",64,6,15,NA,NA,NA,0
"65",65,6,15,NA,NA,NA,0
"66",66,6,15,"C",NA,NA,0
"67",67,6,15,NA,NA,NA,0
"68",68,4,16,NA,NA,NA,0
"69",69,4,16,NA,NA,NA,0
"70",70,4,16,NA,NA,NA,0
"71",71,4,16,NA,NA,NA,0
"72",72,5,17,"C",328,2,0
"73",73,5,17,NA,NA,NA,0
"74",74,5,17,"H",NA,NA,0
"75",75,5,17,"H",364,2,1
"76",76,5,17,"C",323,3,1
"77",77,5,18,NA,NA,NA,0
"78",78,5,18,NA,NA,NA,0
"79",79,5,18,"C",338,3,0
"80",80,5,18,NA,NA,NA,0
"81",81,5,18,"C",364,3,0
"82",82,3,19,"H",342,1,1
"83",83,3,19,"H",NA,NA,0
"84",84,3,19,"C",310,2,1
"85",85,4,20,NA,NA,NA,0
"86",86,4,20,"C",NA,NA,0
"87",87,4,20,NA,NA,NA,0
"88",88,4,20,NA,NA,NA,0
"89",89,3,21,"C",NA,NA,0
"90",90,3,21,NA,NA,NA,0
"91",91,3,21,NA,NA,NA,0
"92",92,5,22,"C",NA,NA,0
"93",93,5,22,NA,NA,NA,0
"94",94,5,22,NA,NA,NA,0
"95",95,5,22,NA,NA,NA,0
"96",96,5,22,NA,NA,NA,0
"97",97,3,23,NA,NA,NA,0
"98",98,3,23,"C",338,2,1
"99",99,3,23,"H",NA,NA,0
"100",100,6,24,NA,NA,NA,0
"101",101,6,24,NA,NA,NA,0
"102",102,6,24,NA,NA,NA,0
"103",103,6,24,NA,NA,NA,0
"104",104,6,24,NA,NA,NA,0
"105",105,6,24,NA,NA,NA,0
"106",106,4,25,NA,NA,NA,0
"107",107,4,25,NA,NA,NA,0
"108",108,4,25,NA,NA,NA,0
"109",109,4,25,NA,NA,NA,0
"110",110,6,26,"C",NA,NA,0
"111",111,6,26,NA,NA,NA,0
"112",112,6,26,"C",290,5,2
"113",113,6,26,"H",355,2,0
"114",114,6,26,NA,NA,NA,0
"115",115,6,26,"H",311,3,0
"116",116,5,27,NA,NA,NA,0
"117",117,5,27,NA,NA,NA,0
"118",118,5,27,NA,NA,NA,0
"119",119,5,27,NA,NA,NA,0
"120",120,5,27,NA,NA,NA,0
"121",121,4,28,NA,NA,NA,0
"122",122,4,28,NA,NA,NA,0
"123",123,4,28,NA,NA,NA,0
"124",124,4,28,NA,NA,NA,0
"125",125,3,29,"C",NA,NA,0
"126",126,3,29,NA,NA,NA,0
"127",127,3,29,NA,NA,NA,0
"128",128,6,30,NA,NA,NA,0
"129",129,6,30,NA,NA,NA,0
"130",130,6,30,NA,NA,NA,0
"131",131,6,30,NA,NA,NA,0
"132",132,6,30,NA,NA,NA,0
"133",133,6,30,NA,NA,NA,0
"134",134,4,31,NA,NA,NA,0
"135",135,4,31,NA,NA,NA,0
"136",136,4,31,NA,NA,NA,0
"137",137,4,31,NA,NA,NA,0
"138",138,5,32,NA,NA,NA,0
"139",139,5,32,"C",NA,NA,0
"140",140,5,32,NA,NA,NA,0
"141",141,5,32,NA,NA,NA,0
"142",142,5,32,NA,NA,NA,0
"143",143,6,33,"C",NA,NA,0
"144",144,6,33,NA,NA,NA,0
"145",145,6,33,NA,NA,NA,0
"146",146,6,33,NA,NA,NA,0
"147",147,6,33,NA,NA,NA,0
"148",148,6,33,"C",NA,NA,0
"149",149,4,34,NA,NA,NA,0
"150",150,4,34,NA,NA,NA,0
"151",151,4,34,NA,NA,NA,0
"152",152,4,34,NA,NA,NA,0
"153",153,6,35,NA,NA,NA,0
"154",154,6,35,NA,NA,NA,0
"155",155,6,35,NA,NA,NA,0
"156",156,6,35,NA,NA,NA,0
"157",157,6,35,NA,NA,NA,0
"158",158,6,35,NA,NA,NA,0
"159",159,3,36,"C",NA,NA,0
"160",160,3,36,NA,NA,NA,0
"161",161,3,36,NA,NA,NA,0
"162",162,5,37,"C",272,4,2
"163",163,5,37,"H",NA,NA,0
"164",164,5,37,"H",351,0,0
"165",165,5,37,"H",340,1,1
"166",166,5,37,"H",315,2,1
"167",167,4,38,"C",NA,NA,0
"168",168,4,38,NA,NA,NA,0
"169",169,4,38,NA,NA,NA,0
"170",170,4,38,NA,NA,NA,0
"171",171,3,39,"C",NA,NA,0
"172",172,3,39,NA,NA,NA,0
"173",173,3,39,NA,NA,NA,0
"174",174,3,40,NA,NA,NA,0
"175",175,3,40,NA,NA,NA,0
"176",176,3,40,NA,NA,NA,0
"177",177,4,41,NA,NA,NA,0
"178",178,4,41,NA,NA,NA,0
"179",179,4,41,NA,NA,NA,0
"180",180,4,41,NA,NA,NA,0
"181",181,5,42,NA,NA,NA,0
"182",182,5,42,NA,NA,NA,0
"183",183,5,42,NA,NA,NA,0
"184",184,5,42,NA,NA,NA,0
"185",185,5,42,NA,NA,NA,0
"186",186,3,43,"C",241,2,0
"187",187,3,43,NA,NA,NA,0
"188",188,3,43,NA,NA,NA,0
"189",189,4,44,NA,NA,NA,0
"190",190,4,44,NA,NA,NA,0
"191",191,4,44,NA,NA,NA,0
"192",192,4,44,NA,NA,NA,0
"193",193,6,45,NA,NA,NA,0
"194",194,6,45,NA,NA,NA,0
"195",195,6,45,NA,NA,NA,0
"196",196,6,45,NA,NA,NA,0
"197",197,6,45,NA,NA,NA,0
"198",198,6,45,NA,NA,NA,0
"199",199,5,46,"H",NA,NA,0
"200",200,5,46,NA,NA,NA,0
"201",201,5,46,"C",342,4,1
"202",202,5,46,NA,NA,NA,0
"203",203,5,46,NA,NA,NA,0
"204",204,3,47,NA,NA,NA,0
"205",205,3,47,NA,NA,NA,0
"206",206,3,47,NA,NA,NA,0
"207",207,4,48,"C",365,3,0
"208",208,4,48,NA,NA,NA,0
"209",209,4,48,NA,NA,NA,0
"210",210,4,48,NA,NA,NA,0
"211",211,3,49,NA,NA,NA,0
"212",212,3,49,NA,NA,NA,0
"213",213,3,49,NA,NA,NA,0
"214",214,4,50,NA,NA,NA,0
"215",215,4,50,"C",357,3,0
"216",216,4,50,NA,NA,NA,0
"217",217,4,50,NA,NA,NA,0
"218",218,5,51,"H",220,0,0
"219",219,5,51,"H",210,0,0
"220",220,5,51,"H",221,0,0
"221",221,5,51,"H",173,3,3
"222",222,5,51,"C",155,4,1
"223",223,3,52,"C",299,2,1
"224",224,3,52,"H",NA,NA,0
"225",225,3,52,NA,NA,NA,0
"226",226,6,53,"C",NA,NA,0
"227",227,6,53,"C",345,5,1
"228",228,6,53,NA,NA,NA,0
"229",229,6,53,NA,NA,NA,0
"230",230,6,53,"H",NA,NA,0
"231",231,6,53,NA,NA,NA,0
"232",232,5,54,NA,NA,NA,0
"233",233,5,54,"C",NA,NA,0
"234",234,5,54,NA,NA,NA,0
"235",235,5,54,NA,NA,NA,0
"236",236,5,54,NA,NA,NA,0
"237",237,6,55,NA,NA,NA,0
"238",238,6,55,NA,NA,NA,0
"239",239,6,55,NA,NA,NA,0
"240",240,6,55,NA,NA,NA,0
"241",241,6,55,NA,NA,NA,0
"242",242,6,55,NA,NA,NA,0
"243",243,3,56,NA,NA,NA,0
"244",244,3,56,NA,NA,NA,0
"245",245,3,56,"C",343,2,0
"246",246,5,57,NA,NA,NA,0
"247",247,5,57,NA,NA,NA,0
"248",248,5,57,NA,NA,NA,0
"249",249,5,57,NA,NA,NA,0
"250",250,5,57,NA,NA,NA,0
"251",251,3,58,NA,NA,NA,0
"252",252,3,58,NA,NA,NA,0
"253",253,3,58,"C",NA,NA,0
"254",254,3,59,NA,NA,NA,0
"255",255,3,59,NA,NA,NA,0
"256",256,3,59,NA,NA,NA,0
"257",257,3,60,"H",NA,NA,0
"258",258,3,60,"C",360,0,0
"259",259,3,60,"C",340,1,1
"260",260,6,61,NA,NA,NA,0
"261",261,6,61,NA,NA,NA,0
"262",262,6,61,NA,NA,NA,0
"263",263,6,61,NA,NA,NA,0
"264",264,6,61,NA,NA,NA,0
"265",265,6,61,NA,NA,NA,0
"266",266,3,62,"H",339,1,0
"267",267,3,62,NA,NA,NA,0
"268",268,3,62,"C",298,2,1
"269",269,3,63,NA,NA,NA,0
"270",270,3,63,NA,NA,NA,0
"271",271,3,63,NA,NA,NA,0
"272",272,6,64,"H",203,3,1
"273",273,6,64,NA,NA,NA,0
"274",274,6,64,"H",200,3,0
"275",275,6,64,"H",229,2,1
"276",276,6,64,"H",255,1,0
"277",277,6,64,"C",161,5,2
"278",278,3,65,NA,NA,NA,0
"279",279,3,65,"C",362,2,0
"280",280,3,65,NA,NA,NA,0
"281",281,5,66,NA,NA,NA,0
"282",282,5,66,NA,NA,NA,0
"283",283,5,66,NA,NA,NA,0
"284",284,5,66,NA,NA,NA,0
"285",285,5,66,NA,NA,NA,0
"286",286,4,67,NA,NA,NA,0
"287",287,4,67,NA,NA,NA,0
"288",288,4,67,NA,NA,NA,0
"289",289,4,67,NA,NA,NA,0
"290",290,5,68,NA,NA,NA,0
"291",291,5,68,NA,NA,NA,0
"292",292,5,68,"H",309,2,0
"293",293,5,68,"H",282,3,1
"294",294,5,68,"C",263,4,1
"295",295,3,69,NA,NA,NA,0
"296",296,3,69,NA,NA,NA,0
"297",297,3,69,NA,NA,NA,0
"298",298,3,70,"C",NA,NA,0
"299",299,3,70,NA,NA,NA,0
"300",300,3,70,NA,NA,NA,0
"301",301,5,71,NA,NA,NA,0
"302",302,5,71,NA,NA,NA,0
"303",303,5,71,NA,NA,NA,0
"304",304,5,71,NA,NA,NA,0
"305",305,5,71,NA,NA,NA,0
"306",306,3,72,NA,NA,NA,0
"307",307,3,72,NA,NA,NA,0
"308",308,3,72,NA,NA,NA,0
"309",309,5,73,NA,NA,NA,0
"310",310,5,73,"C",325,4,1
"311",311,5,73,"H",NA,NA,0
"312",312,5,73,"H",358,3,2
"313",313,5,73,"H",NA,NA,0
"314",314,6,74,NA,NA,NA,0
"315",315,6,74,NA,NA,NA,0
"316",316,6,74,NA,NA,NA,0
"317",317,6,74,"C",NA,NA,0
"318",318,6,74,NA,NA,NA,0
"319",319,6,74,NA,NA,NA,0
"320",320,6,75,"H",360,3,2
"321",321,6,75,NA,NA,NA,0
"322",322,6,75,"C",334,5,2
"323",323,6,75,"H",NA,NA,0
"324",324,6,75,"H",NA,NA,0
"325",325,6,75,"H",NA,NA,0
"326",326,6,76,NA,NA,NA,0
"327",327,6,76,NA,NA,NA,0
"328",328,6,76,NA,NA,NA,0
"329",329,6,76,NA,NA,NA,0
"330",330,6,76,NA,NA,NA,0
"331",331,6,76,NA,NA,NA,0
"332",332,5,77,NA,NA,NA,0
"333",333,5,77,NA,NA,NA,0
"334",334,5,77,NA,NA,NA,0
"335",335,5,77,NA,NA,NA,0
"336",336,5,77,NA,NA,NA,0
"337",337,5,78,"C",234,4,1
"338",338,5,78,"H",351,0,0
"339",339,5,78,"H",361,0,0
"340",340,5,78,"H",282,3,1
"341",341,5,78,"H",325,2,2
"342",342,3,79,NA,NA,NA,0
"343",343,3,79,NA,NA,NA,0
"344",344,3,79,NA,NA,NA,0
"345",345,6,80,NA,NA,NA,0
"346",346,6,80,NA,NA,NA,0
