"ID" "SIZE" "HH" "TYPE" "TIME" "S_NUM" "I_NUM"
"1" 1 5 1 "0" 20 4 2
"2" 2 5 1 "H" 46 2 0
"3" 3 5 1 "H" 93 1 1
"4" 4 5 1 "H" 131 0 0
"5" 5 5 1 "H" 65 2 1
"6" 6 4 2 NA NA NA 0
"7" 7 4 2 NA NA NA 0
"8" 8 4 2 NA NA NA 0
"9" 9 4 2 NA NA NA 0
"10" 10 5 3 "C" 196 4 2
"11" 11 5 3 "H" 222 2 1
"12" 12 5 3 "H" 251 1 1
"13" 13 5 3 "H" 270 0 0
"14" 14 5 3 "H" 220 2 0
"15" 15 3 4 NA NA NA 0
"16" 16 3 4 NA NA NA 0
"17" 17 3 4 NA NA NA 0
"18" 18 5 5 NA NA NA 0
"19" 19 5 5 NA NA NA 0
"20" 20 5 5 NA NA NA 0
"21" 21 5 5 NA NA NA 0
"22" 22 5 5 "C" 358 4 0
"23" 23 6 6 NA NA NA 0
"24" 24 6 6 NA NA NA 0
"25" 25 6 6 NA NA NA 0
"26" 26 6 6 "C" NA NA 0
"27" 27 6 6 NA NA NA 0
"28" 28 6 6 NA NA NA 0
"29" 29 5 7 "C" 321 4 0
"30" 30 5 7 NA NA NA 0
"31" 31 5 7 NA NA NA 0
"32" 32 5 7 NA NA NA 0
"33" 33 5 7 NA NA NA 0
"34" 34 4 8 "H" 361 0 0
"35" 35 4 8 "C" NA NA 0
"36" 36 4 8 "H" 318 1 0
"37" 37 4 8 "C" 295 3 2
"38" 38 5 9 NA NA NA 0
"39" 39 5 9 NA NA NA 0
"40" 40 5 9 NA NA NA 0
"41" 41 5 9 NA NA NA 0
"42" 42 5 9 NA NA NA 0
"43" 43 4 10 NA NA NA 0
"44" 44 4 10 NA NA NA 0
"45" 45 4 10 "C" NA NA 0
"46" 46 4 10 NA NA NA 0
"47" 47 5 11 "C" 242 4 1
"48" 48 5 11 "H" 321 0 0
"49" 49 5 11 "H" 257 3 2
"50" 50 5 11 "H" 329 0 0
"51" 51 5 11 "H" 285 1 1
"52" 52 3 12 "H" 335 1 0
"53" 53 3 12 NA NA NA 0
"54" 54 3 12 "C" 301 2 1
"55" 55 6 13 "H" 351 1 1
"56" 56 6 13 "H" 347 1 0
"57" 57 6 13 "H" 316 3 2
"58" 58 6 13 "H" NA NA 0
"59" 59 6 13 "H" 291 4 1
"60" 60 6 13 "C" 264 5 1
"61" 61 5 14 NA NA NA 0
"62" 62 5 14 NA NA NA 0
"63" 63 5 14 NA NA NA 0
"64" 64 5 14 NA NA NA 0
"65" 65 5 14 NA NA NA 0
"66" 66 4 15 "C" NA NA 0
"67" 67 4 15 NA NA NA 0
"68" 68 4 15 NA NA NA 0
"69" 69 4 15 NA NA NA 0
"70" 70 4 16 NA NA NA 0
"71" 71 4 16 "H" NA NA 0
"72" 72 4 16 "C" 352 3 2
"73" 73 4 16 "H" NA NA 0
"74" 74 5 17 NA NA NA 0
"75" 75 5 17 NA NA NA 0
"76" 76 5 17 NA NA NA 0
"77" 77 5 17 NA NA NA 0
"78" 78 5 17 NA NA NA 0
"79" 79 5 18 NA NA NA 0
"80" 80 5 18 "C" NA NA 0
"81" 81 5 18 NA NA NA 0
"82" 82 5 18 NA NA NA 0
"83" 83 5 18 NA NA NA 0
"84" 84 4 19 NA NA NA 0
"85" 85 4 19 NA NA NA 0
"86" 86 4 19 NA NA NA 0
"87" 87 4 19 NA NA NA 0
"88" 88 6 20 NA NA NA 0
"89" 89 6 20 NA NA NA 0
"90" 90 6 20 "C" 365 5 0
"91" 91 6 20 NA NA NA 0
"92" 92 6 20 NA NA NA 0
"93" 93 6 20 NA NA NA 0
"94" 94 5 21 "C" 322 4 1
"95" 95 5 21 NA NA NA 0
"96" 96 5 21 "H" NA NA 0
"97" 97 5 21 NA NA NA 0
"98" 98 5 21 NA NA NA 0
"99" 99 6 22 NA NA NA 0
"100" 100 6 22 "C" 323 5 1
"101" 101 6 22 NA NA NA 0
"102" 102 6 22 NA NA NA 0
"103" 103 6 22 NA NA NA 0
"104" 104 6 22 "H" NA NA 0
"105" 105 6 23 "C" NA NA 0
"106" 106 6 23 NA NA NA 0
"107" 107 6 23 NA NA NA 0
"108" 108 6 23 "C" NA NA 0
"109" 109 6 23 NA NA NA 0
"110" 110 6 23 NA NA NA 0
"111" 111 3 24 NA NA NA 0
"112" 112 3 24 NA NA NA 0
"113" 113 3 24 NA NA NA 0
"114" 114 4 25 NA NA NA 0
"115" 115 4 25 NA NA NA 0
"116" 116 4 25 NA NA NA 0
"117" 117 4 25 NA NA NA 0
"118" 118 4 26 "C" 362 3 0
"119" 119 4 26 NA NA NA 0
