"ID" "SIZE" "HH" "TYPE" "TIME" "S_num" "I_num"
"1" 1 3 1 "0" 30 2 0
"2" 2 3 1 "E" 95 0 0
"3" 3 3 1 "E" 114 0 0
"4" 4 4 2 "E" 76 3 0
"5" 5 4 2 "E" 145 0 0
"6" 6 4 2 "E" 160 0 0
"7" 7 4 2 "E" 121 2 1
"8" 8 6 3 "E" 78 2 0
"9" 9 6 3 "E" 131 1 0
"10" 10 6 3 "E" 83 2 1
"11" 11 6 3 "E" 66 4 1
"12" 12 6 3 "E" 242 0 0
"13" 13 6 3 "E" 116 1 0
"14" 14 3 4 "E" 34 2 0
"15" 15 3 4 "E" 114 0 0
"16" 16 3 4 "E" 107 0 0
"17" 17 3 5 "E" 300 0 0
"18" 18 3 5 "E" 95 2 0
"19" 19 3 5 "E" 200 1 0
"20" 20 5 6 "E" 90 3 1
"21" 21 5 6 "E" 135 1 0
"22" 22 5 6 "E" 144 0 0
"23" 23 5 6 "E" 82 3 0
"24" 24 5 6 "E" 191 0 0
"25" 25 5 7 "E" 27 3 1
"26" 26 5 7 "E" 145 0 0
"27" 27 5 7 "E" 138 0 0
"28" 28 5 7 "E" 68 2 0
"29" 29 5 7 "E" 63 2 0
"30" 30 5 8 "E" 117 0 0
"31" 31 5 8 "E" 92 0 0
"32" 32 5 8 "E" 54 0 0
"33" 33 5 8 "E" 38 1 0
"34" 34 5 8 "E" 73 0 0
"35" 35 5 9 "E" 80 1 0
"36" 36 5 9 "E" 33 3 0
"37" 37 5 9 "E" 200 0 0
"38" 38 5 9 "E" 55 2 0
"39" 39 5 9 "E" 69 1 0
"40" 40 3 10 "E" 201 0 0
"41" 41 3 10 "E" 99 2 0
"42" 42 3 10 "E" 180 0 0
"43" 43 6 11 "E" 125 1 1
"44" 44 6 11 "E" 96 1 0
"45" 45 6 11 "E" 191 0 0
"46" 46 6 11 "E" 49 3 1
"47" 47 6 11 "E" 65 2 0
"48" 48 6 11 "E" 49 3 0
"49" 49 5 12 "E" 77 3 0
"50" 50 5 12 NA NA NA 0
"51" 51 5 12 "E" 129 1 0
"52" 52 5 12 "E" 89 3 0
"53" 53 5 12 "E" 143 1 0
"54" 54 3 13 "E" 47 1 0
"55" 55 3 13 "E" 56 1 0
"56" 56 3 13 "E" 171 0 0
"57" 57 3 14 "E" 83 0 0
"58" 58 3 14 "E" 97 0 0
"59" 59 3 14 "E" 111 0 0
"60" 60 3 15 "E" 69 1 0
"61" 61 3 15 "E" 90 1 1
"62" 62 3 15 "E" 181 0 0
"63" 63 3 16 "E" 59 0 0
"64" 64 3 16 "E" 58 0 0
"65" 65 3 16 "E" 107 0 0
"66" 66 4 17 "E" 287 1 0
"67" 67 4 17 "E" 136 2 0
"68" 68 4 17 "E" 105 2 0
"69" 69 4 17 NA NA NA 0
"70" 70 4 18 "E" 209 0 0
"71" 71 4 18 "E" 54 3 0
"72" 72 4 18 "E" 145 1 0
