"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,3,1,"0",43,NA,0
2,3,1,"E",51,NA,0
3,3,1,NA,NA,NA,0
4,5,2,"E",167,NA,0
5,5,2,NA,NA,NA,0
6,5,2,"E",326,NA,0
7,5,2,"E",55,NA,0
8,5,2,"E",69,NA,0
9,3,3,NA,NA,NA,0
10,3,3,NA,NA,NA,0
11,3,3,NA,NA,NA,0
12,6,4,NA,NA,NA,0
13,6,4,"E",43,NA,0
14,6,4,NA,NA,NA,0
15,6,4,NA,NA,NA,0
16,6,4,NA,NA,NA,0
17,6,4,NA,NA,NA,0
18,4,5,NA,NA,NA,0
19,4,5,NA,NA,NA,0
20,4,5,NA,NA,NA,0
21,4,5,NA,NA,NA,0
22,4,6,NA,NA,NA,0
23,4,6,NA,NA,NA,0
24,4,6,NA,NA,NA,0
25,4,6,NA,NA,NA,0
26,4,7,NA,NA,NA,0
27,4,7,NA,NA,NA,0
28,4,7,NA,NA,NA,0
29,4,7,NA,NA,NA,0
30,4,8,"E",261,NA,0
31,4,8,"E",290,NA,0
32,4,8,"E",61,NA,0
33,4,8,NA,NA,NA,0
34,3,9,"E",211,NA,0
35,3,9,"E",54,NA,0
36,3,9,"E",237,NA,0
37,5,10,NA,NA,NA,0
38,5,10,"E",152,NA,0
39,5,10,"E",70,NA,0
40,5,10,NA,NA,NA,0
41,5,10,NA,NA,NA,0
42,5,11,NA,NA,NA,0
43,5,11,NA,NA,NA,0
44,5,11,"E",319,NA,0
45,5,11,NA,NA,NA,0
46,5,11,NA,NA,NA,0
47,4,12,NA,NA,NA,0
48,4,12,NA,NA,NA,0
49,4,12,NA,NA,NA,0
50,4,12,"E",245,NA,0
51,5,13,NA,NA,NA,0
52,5,13,NA,NA,NA,0
53,5,13,NA,NA,NA,0
54,5,13,NA,NA,NA,0
55,5,13,"E",174,NA,0
56,4,14,"E",70,NA,0
57,4,14,NA,NA,NA,0
58,4,14,NA,NA,NA,0
59,4,14,"E",360,NA,0
60,3,15,NA,NA,NA,0
61,3,15,"E",330,NA,0
62,3,15,"E",274,NA,0
63,5,16,"E",145,NA,0
64,5,16,"E",163,NA,0
65,5,16,NA,NA,NA,0
66,5,16,NA,NA,NA,0
67,5,16,NA,NA,NA,0
68,6,17,NA,NA,NA,0
69,6,17,NA,NA,NA,0
70,6,17,NA,NA,NA,0
71,6,17,"E",290,NA,0
72,6,17,NA,NA,NA,0
73,6,17,NA,NA,NA,0
74,4,18,"E",NA,NA,0
75,4,18,NA,NA,NA,0
76,4,18,NA,NA,NA,0
77,4,18,"E",286,NA,0
78,4,19,NA,NA,NA,0
79,4,19,NA,NA,NA,0
80,4,19,NA,NA,NA,0
81,4,19,NA,NA,NA,0
82,6,20,"E",44,NA,0
83,6,20,NA,NA,NA,0
84,6,20,"E",138,NA,0
85,6,20,NA,NA,NA,0
86,6,20,"E",360,NA,0
87,6,20,NA,NA,NA,0
88,6,21,"E",227,NA,0
89,6,21,"E",NA,NA,0
90,6,21,NA,NA,NA,0
91,6,21,"E",117,NA,0
92,6,21,NA,NA,NA,0
93,6,21,NA,NA,NA,0
94,6,22,NA,NA,NA,0
95,6,22,"E",284,NA,0
96,6,22,NA,NA,NA,0
97,6,22,NA,NA,NA,0
98,6,22,NA,NA,NA,0
99,6,22,"E",83,NA,0
100,3,23,NA,NA,NA,0
101,3,23,NA,NA,NA,0
102,3,23,"E",291,NA,0
103,4,24,NA,NA,NA,0
104,4,24,NA,NA,NA,0
105,4,24,NA,NA,NA,0
106,4,24,NA,NA,NA,0
107,6,25,NA,NA,NA,0
108,6,25,NA,NA,NA,0
109,6,25,NA,NA,NA,0
110,6,25,NA,NA,NA,0
111,6,25,"E",177,NA,0
112,6,25,"E",356,NA,0
113,6,26,NA,NA,NA,0
114,6,26,NA,NA,NA,0
115,6,26,NA,NA,NA,0
116,6,26,NA,NA,NA,0
117,6,26,NA,NA,NA,0
118,6,26,"E",33,NA,0
119,6,27,NA,NA,NA,0
120,6,27,"E",NA,NA,0
121,6,27,"E",153,NA,0
122,6,27,"E",116,NA,0
123,6,27,"E",308,NA,0
124,6,27,NA,NA,NA,0
125,6,28,NA,NA,NA,0
126,6,28,NA,NA,NA,0
127,6,28,NA,NA,NA,0
128,6,28,"E",231,NA,0
129,6,28,"E",96,NA,0
130,6,28,"E",248,NA,0
131,4,29,"E",171,NA,0
132,4,29,NA,NA,NA,0
133,4,29,NA,NA,NA,0
134,4,29,NA,NA,NA,0
135,5,30,NA,NA,NA,0
136,5,30,"E",64,NA,0
137,5,30,NA,NA,NA,0
138,5,30,"E",298,NA,0
139,5,30,NA,NA,NA,0
140,5,31,NA,NA,NA,0
141,5,31,NA,NA,NA,0
142,5,31,"E",86,NA,0
143,5,31,"E",237,NA,0
144,5,31,NA,NA,NA,0
145,6,32,"E",165,NA,0
146,6,32,"E",NA,NA,0
147,6,32,NA,NA,NA,0
148,6,32,NA,NA,NA,0
149,6,32,"E",47,NA,0
150,6,32,NA,NA,NA,0
151,6,33,"E",293,NA,0
152,6,33,NA,NA,NA,0
153,6,33,"E",38,NA,0
154,6,33,"E",43,NA,0
155,6,33,NA,NA,NA,0
156,6,33,NA,NA,NA,0
157,5,34,NA,NA,NA,0
158,5,34,NA,NA,NA,0
159,5,34,"E",83,NA,0
160,5,34,NA,NA,NA,0
161,5,34,"E",191,NA,0
162,6,35,NA,NA,NA,0
163,6,35,"E",111,NA,0
164,6,35,"E",285,NA,0
165,6,35,NA,NA,NA,0
166,6,35,"E",106,NA,0
167,6,35,NA,NA,NA,0
168,6,36,"E",72,NA,0
169,6,36,NA,NA,NA,0
170,6,36,NA,NA,NA,0
171,6,36,"E",85,NA,0
172,6,36,NA,NA,NA,0
173,6,36,NA,NA,NA,0
174,3,37,"E",99,NA,0
175,3,37,"E",238,NA,0
176,3,37,"E",NA,NA,0
177,6,38,NA,NA,NA,0
178,6,38,NA,NA,NA,0
179,6,38,NA,NA,NA,0
180,6,38,NA,NA,NA,0
181,6,38,NA,NA,NA,0
182,6,38,NA,NA,NA,0
183,3,39,NA,NA,NA,0
184,3,39,NA,NA,NA,0
185,3,39,NA,NA,NA,0
186,6,40,"E",141,NA,0
187,6,40,NA,NA,NA,0
188,6,40,NA,NA,NA,0
189,6,40,NA,NA,NA,0
190,6,40,NA,NA,NA,0
191,6,40,NA,NA,NA,0
192,5,41,NA,NA,NA,0
193,5,41,NA,NA,NA,0
194,5,41,NA,NA,NA,0
195,5,41,NA,NA,NA,0
196,5,41,NA,NA,NA,0
197,4,42,NA,NA,NA,0
198,4,42,NA,NA,NA,0
199,4,42,NA,NA,NA,0
200,4,42,NA,NA,NA,0
201,5,43,NA,NA,NA,0
202,5,43,"E",104,NA,0
203,5,43,"E",244,NA,0
204,5,43,NA,NA,NA,0
205,5,43,NA,NA,NA,0
206,5,44,"E",168,NA,0
207,5,44,NA,NA,NA,0
208,5,44,NA,NA,NA,0
209,5,44,NA,NA,NA,0
210,5,44,"E",65,NA,0
211,6,45,NA,NA,NA,0
212,6,45,"E",115,NA,0
213,6,45,"E",283,NA,0
214,6,45,"E",365,NA,0
215,6,45,"E",125,NA,0
216,6,45,NA,NA,NA,0
217,6,46,NA,NA,NA,0
218,6,46,NA,NA,NA,0
219,6,46,"E",296,NA,0
220,6,46,NA,NA,NA,0
221,6,46,NA,NA,NA,0
222,6,46,"E",175,NA,0
223,5,47,"E",323,NA,0
224,5,47,NA,NA,NA,0
225,5,47,"E",151,NA,0
226,5,47,NA,NA,NA,0
227,5,47,"E",282,NA,0
228,5,48,"E",65,NA,0
229,5,48,"E",NA,NA,0
230,5,48,"E",162,NA,0
231,5,48,"E",71,NA,0
232,5,48,NA,NA,NA,0
233,6,49,NA,NA,NA,0
234,6,49,NA,NA,NA,0
235,6,49,NA,NA,NA,0
236,6,49,NA,NA,NA,0
237,6,49,NA,NA,NA,0
238,6,49,"E",NA,NA,0
239,5,50,NA,NA,NA,0
240,5,50,NA,NA,NA,0
241,5,50,NA,NA,NA,0
242,5,50,"E",141,NA,0
243,5,50,"E",82,NA,0
244,6,51,"E",278,NA,0
245,6,51,"E",312,NA,0
246,6,51,"E",53,NA,0
247,6,51,"E",128,NA,0
248,6,51,NA,NA,NA,0
249,6,51,NA,NA,NA,0
250,3,52,NA,NA,NA,0
251,3,52,"E",198,NA,0
252,3,52,NA,NA,NA,0
253,5,53,NA,NA,NA,0
254,5,53,NA,NA,NA,0
255,5,53,NA,NA,NA,0
256,5,53,"E",93,NA,0
257,5,53,NA,NA,NA,0
258,6,54,NA,NA,NA,0
259,6,54,"E",151,NA,0
260,6,54,NA,NA,NA,0
261,6,54,NA,NA,NA,0
262,6,54,NA,NA,NA,0
263,6,54,NA,NA,NA,0
264,3,55,NA,NA,NA,0
265,3,55,"E",302,NA,0
266,3,55,NA,NA,NA,0
267,6,56,NA,NA,NA,0
268,6,56,NA,NA,NA,0
269,6,56,NA,NA,NA,0
270,6,56,NA,NA,NA,0
271,6,56,NA,NA,NA,0
272,6,56,"E",NA,NA,0
273,3,57,NA,NA,NA,0
274,3,57,"E",334,NA,0
275,3,57,NA,NA,NA,0
276,6,58,NA,NA,NA,0
277,6,58,NA,NA,NA,0
278,6,58,NA,NA,NA,0
279,6,58,NA,NA,NA,0
280,6,58,NA,NA,NA,0
281,6,58,NA,NA,NA,0
282,5,59,NA,NA,NA,0
283,5,59,NA,NA,NA,0
284,5,59,NA,NA,NA,0
285,5,59,NA,NA,NA,0
286,5,59,"E",163,NA,0
287,6,60,NA,NA,NA,0
288,6,60,"E",101,NA,0
289,6,60,NA,NA,NA,0
290,6,60,NA,NA,NA,0
291,6,60,NA,NA,NA,0
292,6,60,"E",155,NA,0
293,5,61,NA,NA,NA,0
294,5,61,"E",151,NA,0
295,5,61,"E",72,NA,0
296,5,61,"E",156,NA,0
297,5,61,NA,NA,NA,0
298,3,62,NA,NA,NA,0
299,3,62,NA,NA,NA,0
300,3,62,NA,NA,NA,0
301,5,63,"E",237,NA,0
302,5,63,"E",156,NA,0
303,5,63,NA,NA,NA,0
304,5,63,NA,NA,NA,0
305,5,63,NA,NA,NA,0
306,5,64,NA,NA,NA,0
307,5,64,NA,NA,NA,0
308,5,64,NA,NA,NA,0
309,5,64,NA,NA,NA,0
310,5,64,NA,NA,NA,0
311,3,65,NA,NA,NA,0
312,3,65,NA,NA,NA,0
313,3,65,"E",326,NA,0
314,5,66,NA,NA,NA,0
315,5,66,"E",260,NA,0
316,5,66,NA,NA,NA,0
317,5,66,NA,NA,NA,0
318,5,66,NA,NA,NA,0
319,6,67,NA,NA,NA,0
320,6,67,NA,NA,NA,0
321,6,67,NA,NA,NA,0
322,6,67,NA,NA,NA,0
323,6,67,NA,NA,NA,0
324,6,67,NA,NA,NA,0
325,3,68,"E",262,NA,0
326,3,68,NA,NA,NA,0
327,3,68,NA,NA,NA,0
328,6,69,"E",45,NA,0
329,6,69,"E",NA,NA,0
330,6,69,NA,NA,NA,0
331,6,69,NA,NA,NA,0
332,6,69,NA,NA,NA,0
333,6,69,NA,NA,NA,0
334,5,70,NA,NA,NA,0
335,5,70,NA,NA,NA,0
336,5,70,"E",149,NA,0
337,5,70,NA,NA,NA,0
338,5,70,NA,NA,NA,0
339,3,71,NA,NA,NA,0
340,3,71,NA,NA,NA,0
341,3,71,NA,NA,NA,0
342,3,72,NA,NA,NA,0
343,3,72,NA,NA,NA,0
344,3,72,NA,NA,NA,0
345,6,73,"E",299,NA,0
346,6,73,"E",117,NA,0
347,6,73,NA,NA,NA,0
348,6,73,NA,NA,NA,0
349,6,73,NA,NA,NA,0
350,6,73,"E",354,NA,0
351,6,74,"E",178,NA,0
352,6,74,NA,NA,NA,0
353,6,74,NA,NA,NA,0
354,6,74,NA,NA,NA,0
355,6,74,NA,NA,NA,0
356,6,74,NA,NA,NA,0
357,6,75,"E",90,NA,0
358,6,75,NA,NA,NA,0
359,6,75,"E",153,NA,0
360,6,75,"E",333,NA,0
361,6,75,NA,NA,NA,0
362,6,75,"E",103,NA,0
363,3,76,"E",286,NA,0
364,3,76,NA,NA,NA,0
365,3,76,"E",362,NA,0
366,6,77,NA,NA,NA,0
367,6,77,NA,NA,NA,0
368,6,77,"E",252,NA,0
369,6,77,NA,NA,NA,0
370,6,77,NA,NA,NA,0
371,6,77,NA,NA,NA,0
372,6,78,"E",140,NA,0
373,6,78,NA,NA,NA,0
374,6,78,"E",NA,NA,0
375,6,78,NA,NA,NA,0
376,6,78,NA,NA,NA,0
377,6,78,NA,NA,NA,0
378,5,79,NA,NA,NA,0
379,5,79,"E",304,NA,0
380,5,79,NA,NA,NA,0
381,5,79,NA,NA,NA,0
382,5,79,NA,NA,NA,0
383,4,80,NA,NA,NA,0
384,4,80,NA,NA,NA,0
385,4,80,"E",121,NA,0
386,4,80,NA,NA,NA,0
387,4,81,NA,NA,NA,0
388,4,81,NA,NA,NA,0
389,4,81,NA,NA,NA,0
390,4,81,NA,NA,NA,0
391,6,82,"E",104,NA,0
392,6,82,NA,NA,NA,0
393,6,82,"E",83,NA,0
394,6,82,"E",20,NA,0
395,6,82,"E",84,NA,0
396,6,82,NA,NA,NA,0
397,6,83,NA,NA,NA,0
398,6,83,NA,NA,NA,0
399,6,83,NA,NA,NA,0
400,6,83,NA,NA,NA,0
401,6,83,"E",111,NA,0
402,6,83,"E",149,NA,0
403,6,84,NA,NA,NA,0
404,6,84,NA,NA,NA,0
405,6,84,NA,NA,NA,0
406,6,84,NA,NA,NA,0
407,6,84,NA,NA,NA,0
408,6,84,NA,NA,NA,0
409,6,85,NA,NA,NA,0
410,6,85,NA,NA,NA,0
411,6,85,NA,NA,NA,0
412,6,85,NA,NA,NA,0
413,6,85,NA,NA,NA,0
414,6,85,NA,NA,NA,0
415,4,86,NA,NA,NA,0
416,4,86,NA,NA,NA,0
417,4,86,NA,NA,NA,0
418,4,86,NA,NA,NA,0
419,5,87,"E",316,NA,0
420,5,87,NA,NA,NA,0
421,5,87,NA,NA,NA,0
422,5,87,"E",285,NA,0
423,5,87,NA,NA,NA,0
424,4,88,NA,NA,NA,0
425,4,88,"E",335,NA,0
426,4,88,NA,NA,NA,0
427,4,88,"E",310,NA,0
428,4,89,NA,NA,NA,0
429,4,89,NA,NA,NA,0
430,4,89,"E",286,NA,0
431,4,89,NA,NA,NA,0
432,5,90,NA,NA,NA,0
433,5,90,NA,NA,NA,0
434,5,90,NA,NA,NA,0
435,5,90,NA,NA,NA,0
436,5,90,"E",182,NA,0
437,4,91,NA,NA,NA,0
438,4,91,NA,NA,NA,0
439,4,91,"E",179,NA,0
440,4,91,NA,NA,NA,0
441,5,92,"E",81,NA,0
442,5,92,NA,NA,NA,0
443,5,92,"E",28,NA,0
444,5,92,NA,NA,NA,0
445,5,92,NA,NA,NA,0
446,3,93,NA,NA,NA,0
447,3,93,"E",70,NA,0
448,3,93,NA,NA,NA,0
449,3,94,"E",254,NA,0
450,3,94,NA,NA,NA,0
451,3,94,"E",299,NA,0
452,6,95,NA,NA,NA,0
453,6,95,"E",277,NA,0
454,6,95,"E",124,NA,0
455,6,95,NA,NA,NA,0
456,6,95,NA,NA,NA,0
457,6,95,NA,NA,NA,0
458,5,96,NA,NA,NA,0
459,5,96,"E",29,NA,0
460,5,96,"E",60,NA,0
461,5,96,"E",99,NA,0
462,5,96,NA,NA,NA,0
463,3,97,NA,NA,NA,0
464,3,97,NA,NA,NA,0
465,3,97,NA,NA,NA,0
466,6,98,NA,NA,NA,0
467,6,98,NA,NA,NA,0
468,6,98,NA,NA,NA,0
