"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,3,1,"0",40,NA,0
2,3,1,"E",285,NA,0
3,3,1,"E",24,NA,0
4,4,2,"E",353,NA,0
5,4,2,"E",161,NA,0
6,4,2,"E",221,NA,0
7,4,2,"E",326,NA,0
8,5,3,"E",251,NA,0
9,5,3,"E",72,NA,0
10,5,3,"E",179,NA,0
11,5,3,"E",168,NA,0
12,5,3,"E",159,NA,0
13,5,4,"E",164,NA,0
14,5,4,"E",235,NA,0
15,5,4,"E",183,NA,0
16,5,4,"E",104,NA,0
17,5,4,"E",107,NA,0
18,3,5,NA,NA,NA,0
19,3,5,"E",311,NA,0
20,3,5,"E",242,NA,0
21,5,6,"E",207,NA,0
22,5,6,"E",139,NA,0
23,5,6,"E",33,NA,0
24,5,6,"E",238,NA,0
25,5,6,NA,NA,NA,0
26,5,7,"E",186,NA,0
27,5,7,"E",103,NA,0
28,5,7,"E",312,NA,0
29,5,7,"E",282,NA,0
30,5,7,"E",111,NA,0
31,3,8,"E",254,NA,0
32,3,8,"E",178,NA,0
33,3,8,"E",250,NA,0
34,5,9,"E",72,NA,0
35,5,9,"E",210,NA,0
36,5,9,"E",NA,NA,0
37,5,9,"E",169,NA,0
38,5,9,"E",125,NA,0
39,3,10,"E",252,NA,0
40,3,10,"E",291,NA,0
41,3,10,"E",86,NA,0
42,5,11,"E",253,NA,0
43,5,11,"E",311,NA,0
44,5,11,"E",245,NA,0
45,5,11,"E",196,NA,0
46,5,11,"E",192,NA,0
47,3,12,"E",113,NA,0
48,3,12,"E",145,NA,0
49,3,12,"E",189,NA,0
50,3,13,"E",281,NA,0
51,3,13,"E",358,NA,0
52,3,13,NA,NA,NA,0
53,5,14,"E",64,NA,0
54,5,14,"E",NA,NA,0
55,5,14,NA,NA,NA,0
56,5,14,"E",240,NA,0
57,5,14,"E",82,NA,0
58,5,15,"E",84,NA,0
59,5,15,"E",187,NA,0
60,5,15,"E",101,NA,0
61,5,15,"E",245,NA,0
62,5,15,"E",143,NA,0
63,6,16,"E",273,NA,0
64,6,16,"E",267,NA,0
65,6,16,"E",178,NA,0
66,6,16,"E",217,NA,0
67,6,16,"E",93,NA,0
68,6,16,NA,NA,NA,0
69,3,17,"E",330,NA,0
70,3,17,"E",155,NA,0
71,3,17,"E",82,NA,0
72,5,18,"E",71,NA,0
73,5,18,"E",109,NA,0
74,5,18,"E",295,NA,0
75,5,18,"E",108,NA,0
76,5,18,"E",262,NA,0
77,6,19,"E",304,NA,0
78,6,19,"E",130,NA,0
79,6,19,"E",74,NA,0
80,6,19,"E",182,NA,0
81,6,19,"E",272,NA,0
82,6,19,"E",120,NA,0
83,6,20,"E",188,NA,0
84,6,20,"E",124,NA,0
85,6,20,"E",311,NA,0
86,6,20,"E",290,NA,0
87,6,20,"E",250,NA,0
88,6,20,"E",204,NA,0
89,6,21,"E",225,NA,0
90,6,21,"E",311,NA,0
91,6,21,"E",77,NA,0
92,6,21,"E",143,NA,0
93,6,21,"E",44,NA,0
94,6,21,"E",253,NA,0
95,6,22,"E",128,NA,0
96,6,22,"E",207,NA,0
97,6,22,"E",141,NA,0
98,6,22,"E",84,NA,0
99,6,22,"E",344,NA,0
100,6,22,"E",228,NA,0
101,6,23,"E",164,NA,0
102,6,23,"E",66,NA,0
103,6,23,"E",361,NA,0
104,6,23,NA,NA,NA,0
105,6,23,"E",332,NA,0
106,6,23,"E",153,NA,0
107,5,24,"E",80,NA,0
108,5,24,"E",166,NA,0
109,5,24,"E",262,NA,0
110,5,24,"E",177,NA,0
111,5,24,"E",115,NA,0
112,5,25,"E",226,NA,0
113,5,25,"E",50,NA,0
114,5,25,NA,NA,NA,0
115,5,25,NA,NA,NA,0
116,5,25,"E",157,NA,0
117,6,26,"E",68,NA,0
118,6,26,"E",127,NA,0
119,6,26,"E",95,NA,0
120,6,26,"E",129,NA,0
121,6,26,"E",42,NA,0
122,6,26,NA,NA,NA,0
123,4,27,"E",40,NA,0
124,4,27,"E",284,NA,0
125,4,27,"E",118,NA,0
126,4,27,"E",82,NA,0
127,5,28,"E",277,NA,0
128,5,28,"E",177,NA,0
129,5,28,"E",272,NA,0
130,5,28,"E",350,NA,0
131,5,28,"E",302,NA,0
132,5,29,"E",73,NA,0
133,5,29,"E",165,NA,0
134,5,29,"E",267,NA,0
135,5,29,"E",248,NA,0
136,5,29,"E",339,NA,0
137,5,30,"E",91,NA,0
138,5,30,"E",43,NA,0
139,5,30,"E",65,NA,0
140,5,30,"E",242,NA,0
141,5,30,"E",206,NA,0
142,6,31,"E",162,NA,0
143,6,31,"E",200,NA,0
144,6,31,"E",167,NA,0
145,6,31,"E",289,NA,0
146,6,31,"E",141,NA,0
147,6,31,"E",294,NA,0
148,4,32,"E",102,NA,0
149,4,32,"E",71,NA,0
150,4,32,NA,NA,NA,0
151,4,32,"E",339,NA,0
152,4,33,"E",292,NA,0
153,4,33,"E",155,NA,0
154,4,33,"E",200,NA,0
155,4,33,"E",195,NA,0
156,4,34,"E",114,NA,0
157,4,34,"E",312,NA,0
158,4,34,"E",32,NA,0
159,4,34,"E",345,NA,0
160,3,35,"E",332,NA,0
161,3,35,"E",126,NA,0
162,3,35,"E",175,NA,0
163,4,36,"E",226,NA,0
164,4,36,"E",111,NA,0
165,4,36,"E",119,NA,0
166,4,36,"E",133,NA,0
167,4,37,"E",84,NA,0
168,4,37,"E",331,NA,0
169,4,37,"E",132,NA,0
170,4,37,"E",200,NA,0
171,4,38,"E",73,NA,0
172,4,38,NA,NA,NA,0
173,4,38,"E",NA,NA,0
174,4,38,"E",305,NA,0
175,6,39,"E",315,NA,0
176,6,39,"E",153,NA,0
177,6,39,"E",277,NA,0
178,6,39,"E",298,NA,0
179,6,39,"E",172,NA,0
180,6,39,"E",209,NA,0
181,4,40,"E",NA,NA,0
182,4,40,"E",116,NA,0
183,4,40,"E",298,NA,0
184,4,40,"E",164,NA,0
185,6,41,NA,NA,NA,0
186,6,41,"E",254,NA,0
187,6,41,"E",258,NA,0
188,6,41,"E",184,NA,0
189,6,41,"E",162,NA,0
190,6,41,"E",108,NA,0
191,3,42,"E",192,NA,0
192,3,42,NA,NA,NA,0
193,3,42,"E",158,NA,0
194,3,43,"E",238,NA,0
195,3,43,"E",205,NA,0
196,3,43,"E",315,NA,0
197,6,44,"E",212,NA,0
198,6,44,"E",119,NA,0
199,6,44,"E",NA,NA,0
200,6,44,"E",NA,NA,0
201,6,44,"E",NA,NA,0
202,6,44,"E",111,NA,0
203,5,45,"E",347,NA,0
204,5,45,"E",116,NA,0
205,5,45,"E",NA,NA,0
206,5,45,"E",352,NA,0
207,5,45,"E",357,NA,0
208,6,46,"E",231,NA,0
209,6,46,"E",NA,NA,0
210,6,46,"E",291,NA,0
211,6,46,"E",175,NA,0
212,6,46,"E",130,NA,0
213,6,46,"E",37,NA,0
214,5,47,"E",236,NA,0
