"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,4,1,"0",44,NA,0
2,4,1,"E",NA,NA,0
3,4,1,"E",333,NA,0
4,4,1,"E",268,NA,0
5,3,2,NA,NA,NA,0
6,3,2,"E",228,NA,0
7,3,2,NA,NA,NA,0
8,4,3,"E",NA,NA,0
9,4,3,"E",295,NA,0
10,4,3,"E",296,NA,0
11,4,3,"E",281,NA,0
12,3,4,"E",249,NA,0
13,3,4,"E",225,NA,0
14,3,4,"E",NA,NA,0
15,6,5,"E",333,NA,0
16,6,5,NA,NA,NA,0
17,6,5,"E",290,NA,0
18,6,5,"E",256,NA,0
19,6,5,"E",329,NA,0
20,6,5,"E",309,NA,0
21,3,6,"E",287,NA,0
22,3,6,"E",284,NA,0
23,3,6,NA,NA,NA,0
24,4,7,NA,NA,NA,0
25,4,7,NA,NA,NA,0
26,4,7,"E",331,NA,0
27,4,7,"E",229,NA,0
28,3,8,NA,NA,NA,0
29,3,8,"E",139,NA,0
30,3,8,"E",189,NA,0
31,6,9,"E",283,NA,0
32,6,9,"E",164,NA,0
33,6,9,NA,NA,NA,0
34,6,9,NA,NA,NA,0
35,6,9,"E",350,NA,0
36,6,9,"E",303,NA,0
37,5,10,"E",204,NA,0
38,5,10,"E",169,NA,0
39,5,10,"E",260,NA,0
40,5,10,"E",323,NA,0
41,5,10,"E",329,NA,0
42,3,11,NA,NA,NA,0
43,3,11,"E",252,NA,0
44,3,11,NA,NA,NA,0
45,4,12,NA,NA,NA,0
46,4,12,"E",NA,NA,0
47,4,12,NA,NA,NA,0
48,4,12,NA,NA,NA,0
49,4,13,NA,NA,NA,0
50,4,13,"E",NA,NA,0
51,4,13,NA,NA,NA,0
52,4,13,"E",NA,NA,0
53,3,14,"E",330,NA,0
54,3,14,"E",233,NA,0
55,3,14,"E",357,NA,0
56,6,15,"E",281,NA,0
57,6,15,"E",220,NA,0
58,6,15,"E",364,NA,0
59,6,15,"E",329,NA,0
60,6,15,"E",NA,NA,0
61,6,15,NA,NA,NA,0
62,5,16,"E",227,NA,0
63,5,16,"E",201,NA,0
64,5,16,"E",347,NA,0
65,5,16,"E",321,NA,0
66,5,16,NA,NA,NA,0
67,3,17,NA,NA,NA,0
68,3,17,NA,NA,NA,0
69,3,17,"E",277,NA,0
70,4,18,"E",300,NA,0
71,4,18,"E",272,NA,0
72,4,18,NA,NA,NA,0
73,4,18,NA,NA,NA,0
74,6,19,NA,NA,NA,0
75,6,19,"E",236,NA,0
76,6,19,"E",121,NA,0
