"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,3,1,"0",34,2,0
2,3,1,NA,NA,NA,0
3,3,1,"C",NA,NA,0
4,5,2,NA,NA,NA,0
5,5,2,NA,NA,NA,0
6,5,2,NA,NA,NA,0
7,5,2,NA,NA,NA,0
8,5,2,NA,NA,NA,0
9,3,3,NA,NA,NA,0
10,3,3,NA,NA,NA,0
11,3,3,NA,NA,NA,0
12,4,4,"H",263,2,1
13,4,4,"C",229,3,1
14,4,4,NA,NA,NA,0
15,4,4,"H",293,1,0
16,6,5,"H",260,2,1
17,6,5,"C",220,5,2
18,6,5,"H",284,1,1
19,6,5,"H",243,3,1
20,6,5,"H",244,2,0
21,6,5,"H",320,0,0
22,3,6,NA,NA,NA,0
23,3,6,NA,NA,NA,0
24,3,6,NA,NA,NA,0
25,6,7,NA,NA,NA,0
26,6,7,NA,NA,NA,0
27,6,7,NA,NA,NA,0
28,6,7,NA,NA,NA,0
29,6,7,NA,NA,NA,0
30,6,7,NA,NA,NA,0
31,4,8,NA,NA,NA,0
32,4,8,"C",255,3,0
33,4,8,NA,NA,NA,0
34,4,8,NA,NA,NA,0
35,4,9,NA,NA,NA,0
36,4,9,NA,NA,NA,0
37,4,9,NA,NA,NA,0
38,4,9,NA,NA,NA,0
39,3,10,NA,NA,NA,0
40,3,10,NA,NA,NA,0
41,3,10,NA,NA,NA,0
42,3,11,"H",290,1,0
43,3,11,NA,NA,NA,0
44,3,11,"C",249,2,1
45,5,12,NA,NA,NA,0
46,5,12,NA,NA,NA,0
47,5,12,NA,NA,NA,0
48,5,12,NA,NA,NA,0
49,5,12,NA,NA,NA,0
50,4,13,NA,NA,NA,0
51,4,13,NA,NA,NA,0
52,4,13,NA,NA,NA,0
53,4,13,NA,NA,NA,0
54,4,14,NA,NA,NA,0
55,4,14,"C",357,3,2
56,4,14,"H",NA,NA,0
57,4,14,"H",NA,NA,0
58,4,15,NA,NA,NA,0
59,4,15,"C",335,3,0
60,4,15,NA,NA,NA,0
61,4,15,NA,NA,NA,0
62,3,16,NA,NA,NA,0
63,3,16,"C",345,2,1
64,3,16,"H",NA,NA,0
65,4,17,NA,NA,NA,0
66,4,17,"C",214,3,1
67,4,17,NA,NA,NA,0
68,4,17,"H",256,2,0
69,6,18,NA,NA,NA,0
70,6,18,NA,NA,NA,0
71,6,18,NA,NA,NA,0
72,6,18,NA,NA,NA,0
73,6,18,NA,NA,NA,0
74,6,18,NA,NA,NA,0
75,4,19,NA,NA,NA,0
76,4,19,NA,NA,NA,0
77,4,19,NA,NA,NA,0
78,4,19,NA,NA,NA,0
79,4,20,NA,NA,NA,0
80,4,20,NA,NA,NA,0
81,4,20,NA,NA,NA,0
82,4,20,NA,NA,NA,0
83,6,21,NA,NA,NA,0
84,6,21,NA,NA,NA,0
85,6,21,NA,NA,NA,0
86,6,21,"C",NA,NA,0
87,6,21,NA,NA,NA,0
88,6,21,NA,NA,NA,0
89,4,22,"H",310,2,1
90,4,22,"C",256,3,1
91,4,22,"H",356,1,0
92,4,22,NA,NA,NA,0
93,4,23,NA,NA,NA,0
94,4,23,NA,NA,NA,0
95,4,23,NA,NA,NA,0
96,4,23,NA,NA,NA,0
97,4,24,NA,NA,NA,0
98,4,24,"H",NA,NA,0
99,4,24,"C",322,3,1
100,4,24,NA,NA,NA,0
101,3,25,"C",NA,NA,0
102,3,25,NA,NA,NA,0
103,3,25,NA,NA,NA,0
104,4,26,NA,NA,NA,0
105,4,26,NA,NA,NA,0
106,4,26,NA,NA,NA,0
107,4,26,"C",NA,NA,0
108,4,27,NA,NA,NA,0
109,4,27,NA,NA,NA,0
110,4,27,"C",339,3,0
111,4,27,NA,NA,NA,0
112,4,28,"C",116,3,2
113,4,28,NA,NA,NA,0
114,4,28,"H",168,1,0
115,4,28,"H",138,1,0
116,6,29,"C",294,4,3
117,6,29,"H",321,0,0
118,6,29,"H",328,0,0
119,6,29,"H",313,1,1
120,6,29,"C",336,0,0
121,6,29,"H",335,0,0
122,3,30,NA,NA,NA,0
123,3,30,NA,NA,NA,0
124,3,30,"C",NA,NA,0
125,3,31,NA,NA,NA,0
126,3,31,"C",NA,NA,0
127,3,31,NA,NA,NA,0
128,6,32,NA,NA,NA,0
129,6,32,"H",NA,NA,0
130,6,32,NA,NA,NA,0
131,6,32,"C",284,5,1
132,6,32,"H",335,4,1
133,6,32,NA,NA,NA,0
