"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,3,1,"0",16,NA,0
2,3,1,"E",262,NA,0
3,3,1,"E",239,NA,0
4,6,2,NA,NA,NA,0
5,6,2,NA,NA,NA,0
6,6,2,NA,NA,NA,0
7,6,2,"E",222,NA,0
8,6,2,"E",NA,NA,0
9,6,2,"E",NA,NA,0
10,3,3,NA,NA,NA,0
11,3,3,NA,NA,NA,0
12,3,3,"E",197,NA,0
13,6,4,NA,NA,NA,0
14,6,4,"E",NA,NA,0
15,6,4,"E",229,NA,0
16,6,4,"E",NA,NA,0
17,6,4,"E",52,NA,0
18,6,4,NA,NA,NA,0
19,4,5,"E",NA,NA,0
20,4,5,NA,NA,NA,0
21,4,5,"E",343,NA,0
22,4,5,NA,NA,NA,0
23,4,6,"E",NA,NA,0
24,4,6,"E",348,NA,0
25,4,6,NA,NA,NA,0
26,4,6,NA,NA,NA,0
27,4,7,"E",NA,NA,0
28,4,7,NA,NA,NA,0
29,4,7,"E",328,NA,0
30,4,7,NA,NA,NA,0
31,3,8,"E",264,NA,0
32,3,8,"E",40,NA,0
33,3,8,NA,NA,NA,0
34,6,9,"E",NA,NA,0
35,6,9,"E",360,NA,0
36,6,9,NA,NA,NA,0
37,6,9,"E",NA,NA,0
38,6,9,"E",179,NA,0
39,6,9,NA,NA,NA,0
40,3,10,"E",240,NA,0
41,3,10,NA,NA,NA,0
42,3,10,NA,NA,NA,0
43,3,11,NA,NA,NA,0
44,3,11,NA,NA,NA,0
45,3,11,"E",261,NA,0
46,6,12,NA,NA,NA,0
47,6,12,"E",255,NA,0
48,6,12,"E",357,NA,0
49,6,12,"E",279,NA,0
50,6,12,NA,NA,NA,0
51,6,12,"E",NA,NA,0
52,4,13,NA,NA,NA,0
53,4,13,"E",252,NA,0
54,4,13,NA,NA,NA,0
55,4,13,NA,NA,NA,0
56,3,14,"E",281,NA,0
57,3,14,NA,NA,NA,0
58,3,14,NA,NA,NA,0
59,4,15,"E",NA,NA,0
60,4,15,"E",NA,NA,0
61,4,15,NA,NA,NA,0
62,4,15,"E",345,NA,0
63,3,16,NA,NA,NA,0
64,3,16,"E",117,NA,0
65,3,16,NA,NA,NA,0
66,4,17,"E",231,NA,0
67,4,17,NA,NA,NA,0
68,4,17,NA,NA,NA,0
69,4,17,"E",NA,NA,0
70,5,18,"E",296,NA,0
71,5,18,"E",NA,NA,0
72,5,18,NA,NA,NA,0
73,5,18,NA,NA,NA,0
74,5,18,NA,NA,NA,0
75,3,19,"E",279,NA,0
76,3,19,NA,NA,NA,0
77,3,19,NA,NA,NA,0
78,3,20,NA,NA,NA,0
79,3,20,NA,NA,NA,0
80,3,20,"E",341,NA,0
81,3,21,NA,NA,NA,0
82,3,21,"E",263,NA,0
83,3,21,"E",322,NA,0
84,5,22,"E",354,NA,0
85,5,22,NA,NA,NA,0
86,5,22,"E",320,NA,0
87,5,22,"E",NA,NA,0
88,5,22,NA,NA,NA,0
89,3,23,NA,NA,NA,0
90,3,23,NA,NA,NA,0
91,3,23,NA,NA,NA,0
92,3,24,"E",322,NA,0
93,3,24,"E",253,NA,0
94,3,24,NA,NA,NA,0
95,5,25,"E",292,NA,0
96,5,25,"E",110,NA,0
97,5,25,NA,NA,NA,0
98,5,25,"E",NA,NA,0
99,5,25,NA,NA,NA,0
100,5,26,"E",NA,NA,0
101,5,26,NA,NA,NA,0
102,5,26,NA,NA,NA,0
103,5,26,NA,NA,NA,0
104,5,26,"E",362,NA,0
105,5,27,"E",333,NA,0
106,5,27,NA,NA,NA,0
107,5,27,NA,NA,NA,0
108,5,27,NA,NA,NA,0
109,5,27,NA,NA,NA,0
110,4,28,"E",363,NA,0
111,4,28,"E",250,NA,0
112,4,28,NA,NA,NA,0
113,4,28,"E",280,NA,0
114,4,29,NA,NA,NA,0
115,4,29,NA,NA,NA,0
116,4,29,NA,NA,NA,0
117,4,29,NA,NA,NA,0
118,4,30,NA,NA,NA,0
119,4,30,NA,NA,NA,0
120,4,30,NA,NA,NA,0
121,4,30,"E",313,NA,0
122,4,31,"E",353,NA,0
123,4,31,NA,NA,NA,0
124,4,31,"E",314,NA,0
125,4,31,"E",209,NA,0
126,5,32,"E",252,NA,0
127,5,32,"E",NA,NA,0
128,5,32,"E",338,NA,0
129,5,32,"E",293,NA,0
130,5,32,"E",233,NA,0
131,6,33,NA,NA,NA,0
132,6,33,"E",298,NA,0
133,6,33,"E",194,NA,0
134,6,33,NA,NA,NA,0
135,6,33,"E",347,NA,0
136,6,33,NA,NA,NA,0
137,4,34,NA,NA,NA,0
138,4,34,NA,NA,NA,0
139,4,34,"E",357,NA,0
140,4,34,NA,NA,NA,0
141,5,35,NA,NA,NA,0
142,5,35,"E",225,NA,0
143,5,35,"E",NA,NA,0
144,5,35,NA,NA,NA,0
145,5,35,"E",282,NA,0
146,3,36,"E",NA,NA,0
147,3,36,"E",348,NA,0
148,3,36,NA,NA,NA,0
149,6,37,"E",357,NA,0
150,6,37,NA,NA,NA,0
151,6,37,"E",310,NA,0
152,6,37,NA,NA,NA,0
153,6,37,NA,NA,NA,0
154,6,37,NA,NA,NA,0
155,3,38,NA,NA,NA,0
156,3,38,NA,NA,NA,0
157,3,38,"E",NA,NA,0
158,6,39,NA,NA,NA,0
